date time sender month day length count word ily miss baby sex sorry insult tired drag n_pos n_neg anger anticipation disgust fear joy sadness surprise trust negative positive
2018-09-11 0 Andrew Sep Tue 13 19937 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-11 0 Andrew Sep Tue 8 19937 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
2018-09-11 0 Andrew Sep Tue 3 19937 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 2 0
2018-09-11 0 Maik Sep Tue 44 13642 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-11 0 Maik Sep Tue 19 13642 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
2018-09-11 0 Andrew Sep Tue 13 19937 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-11 0 Andrew Sep Tue 12 19937 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-11 0 Maik Sep Tue 39 13642 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-11 0 Maik Sep Tue 20 13642 5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1
2018-09-11 0 Andrew Sep Tue 9 19937 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-11 0 Andrew Sep Tue 10 19937 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-11 0 Andrew Sep Tue 18 19937 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
